Day,Date,Imported,Community,Work permit,Dom
1,23-Jan-20,1,0,0,0
2,24-Jan-20,2,0,0,0
3,25-Jan-20,1,0,0,0
4,26-Jan-20,0,0,0,0
5,27-Jan-20,1,0,0,0
6,28-Jan-20,2,0,0,0
7,29-Jan-20,3,0,0,0
8,30-Jan-20,3,0,0,0
9,31-Jan-20,3,0,0,0
10,1-Feb-20,2,0,0,0
11,2-Feb-20,0,0,0,0
12,3-Feb-20,0,0,0,0
13,4-Feb-20,2,3,0,0
14,5-Feb-20,1,3,0,0
15,6-Feb-20,0,2,0,0
16,7-Feb-20,0,3,0,0
17,8-Feb-20,0,7,0,0
18,9-Feb-20,0,2,0,0
19,10-Feb-20,1,1,0,0
20,11-Feb-20,0,1,0,0
21,12-Feb-20,0,3,0,0
22,13-Feb-20,0,6,1,0
23,14-Feb-20,0,9,0,0
24,15-Feb-20,0,3,1,0
25,16-Feb-20,0,3,0,0
26,17-Feb-20,1,1,0,0
27,18-Feb-20,0,4,0,0
28,19-Feb-20,0,3,0,0
29,20-Feb-20,0,0,0,0
30,21-Feb-20,0,1,0,0
31,22-Feb-20,1,2,0,0
32,23-Feb-20,0,0,0,0
33,24-Feb-20,0,1,0,0
34,25-Feb-20,0,1,0,0
35,26-Feb-20,0,2,0,0
36,27-Feb-20,0,3,0,0
37,28-Feb-20,0,2,0,0
38,29-Feb-20,0,3,0,0
39,1-Mar-20,0,3,0,0
40,2-Mar-20,0,1,0,0
41,3-Mar-20,0,2,0,0
42,4-Mar-20,1,1,0,0
43,5-Mar-20,1,4,0,0
44,6-Mar-20,2,11,0,0
45,7-Mar-20,2,6,0,0
46,8-Mar-20,1,11,0,0
47,9-Mar-20,3,6,0,0
48,10-Mar-20,1,5,1,0
49,11-Mar-20,9,2,0,0
50,12-Mar-20,5,4,1,0
51,13-Mar-20,9,4,0,0
52,14-Mar-20,9,2,1,0
53,15-Mar-20,9,4,1,0
54,16-Mar-20,10,6,0,0
55,17-Mar-20,18,4,2,0
56,18-Mar-20,35,11,1,0
57,19-Mar-20,25,7,0,0
58,20-Mar-20,29,11,0,0
59,21-Mar-20,39,8,0,0
60,22-Mar-20,19,4,0,0
61,23-Mar-20,48,5,1,0
62,24-Mar-20,32,16,1,0
63,25-Mar-20,39,31,3,0
64,26-Mar-20,29,18,4,1
65,27-Mar-20,22,23,3,1
66,28-Mar-20,42,22,5,1
67,29-Mar-20,23,15,2,2
68,30-Mar-20,10,19,1,5
69,31-Mar-20,16,21,4,6
70,1-Apr-20,19,39,3,13
71,2-Apr-20,8,29,4,8
72,3-Apr-20,9,30,5,22
73,4-Apr-20,7,32,10,25
74,5-Apr-20,4,43,14,58
75,6-Apr-20,1,24,7,56
76,7-Apr-20,3,38,8,57
77,8-Apr-20,2,58,8,74
78,9-Apr-20,3,45,11,228
79,10-Apr-20,0,41,16,141
80,11-Apr-20,0,27,12,152
81,12-Apr-20,0,26,19,188
82,13-Apr-20,0,38,14,334
83,14-Apr-20,0,40,19,275
84,15-Apr-20,0,37,4,406
85,16-Apr-20,0,26,26,676
86,17-Apr-20,1,26,34,562
87,18-Apr-20,0,22,27,893
88,19-Apr-20,0,30,18,548
89,20-Apr-20,0,25,30,1371
90,21-Apr-20,0,28,33,1050
91,22-Apr-20,0,17,32,967
92,23-Apr-20,0,25,30,982
93,24-Apr-20,0,25,19,853
94,25-Apr-20,0,9,12,597
95,26-Apr-20,2,18,25,886
96,27-Apr-20,0,18,17,764
97,28-Apr-20,0,10,7,511
98,29-Apr-20,0,10,7,676
99,30-Apr-20,0,9,10,509
100,1-May-20,0,8,4,920
101,2-May-20,0,5,4,438
102,3-May-20,0,11,7,639
103,4-May-20,0,4,3,565
104,5-May-20,0,9,4,618
105,6-May-20,0,12,12,764
106,7-May-20,0,6,8,720
107,8-May-20,0,11,4,727
108,9-May-20,0,11,2,740
109,10-May-20,1,4,9,862
110,11-May-20,0,3,2,481
111,12-May-20,0,3,2,879
112,13-May-20,0,4,0,671